physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;garbage chute;type of house;parking
https://www.avito.ru/perm/kvartiry/3-k._kvartira_608m_59et._2196239062;ул., 25  р-н Свердловский;3;60.8м;9;5;3450000;;;;балкон;1974;;мусоропровод;панельный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_532m_49et._2210114068;ул., 50  р-н Свердловский;2;53.2м;9;4;3990000;косметический;совмещенный;во двор;лоджия;1982;1;;кирпичный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_468m_29et._2034936459;ул. Гашкова, д. 59  р-н Мотовилихинский;2;46.8м;9;2;3114860;;совмещенный;;лоджия;;1;;панельный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_457m_625et._2198281806;;1;45.7м;25;6;3470000;косметический;совмещенный;;лоджия;2012;2;консьерж, мусоропровод;монолитный;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_641m_616et._2099709024;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;3;64.1м;16;6;3727415;;раздельный;на улицу, во двор;лоджия;;1;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_68et._2088418185;ул. Батумская , д. 7  р-н Кировский;2;37м;8;6;2886000;;совмещенный;;балкон;;;;монолитный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_308m_1314et._1739092119;ул. Советской Армии, 60  р-н Индустриальный;1;30.8м;14;13;3000000;требует ремонта;совмещенный;;лоджия;;1;;монолитный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_617m_410et._2219358741;ул. Космонавта Беляева, 8  р-н Индустриальный;1;61.7м;10;4;4650000;;;;лоджия;;2;;кирпичный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_586m_49et._2034926628;ул. Гашкова, д. 59  р-н Мотовилихинский;2;58.6м;9;4;3712944;;раздельный;на улицу, во двор;балкон;;;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_697_m_717_et._2194922112;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;3;69.7м;17;7;4232611;;раздельный;во двор, на улицу;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_444m_25et._2188443306;ул. Ивана Франко, 403  р-н Мотовилихинский;2;44.4м;5;2;2250000;требует ремонта;раздельный;на улицу, во двор;балкон;;0;газоснабжение;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_617m_410et._2219358741;ул. Космонавта Беляева, 8  р-н Индустриальный;1;61.7м;10;4;4650000;;;;лоджия;;2;;кирпичный;
https://www.avito.ru/perm/kvartiry/kvartira-studiya_25m_725et._2028094052;ул. Калинина, 66  р-н Кировский;студия;25м;25;7;от    1200;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_455m_516et._2035574486;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;2;45.5м;16;5;2717910;;раздельный;;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_681m_16et._2152818372;ул. Лукоянова, д. 31  р-н Свердловский;3;68.1м;6;1;4973000;;раздельный;во двор;балкон;;;;кирпичный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;ул. Гашкова, д. 59  р-н Мотовилихинский;;;;;5099542;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_379_m_1417_et._2195363371;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;;;;;2465928;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_586m_49et._2034926628;ул. Гашкова, д. 59  р-н Мотовилихинский;;;;;3712944;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_312et._2152865917;ул. Макаренко, 19  р-н Мотовилихинский;;;;;от    1500;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_697_m_717_et._2194922112;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;;;;;4232611;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_712m_24et._2198327545;;;;;;4600000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_687m_1325et._1910850703;ул. ВеселаяРеволюции, ЖДИзумрудныйр-н Свердловский;;;;;4445000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_39_m1216_et._1915377567;ул., 2Е  р-н Свердловский;;;;;от    1000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/4-k._kvartira_829_m_525_et._1960293275;ул. Строителей, д. 37а  р-н Дзержинский;;;;;6545000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/4-k._kvartira_106_m_310_et._2218424389;ул. Елькина, 8  р-н Свердловский;4;106м;10;3;7250000;;;во двор, на улицу;балкон;;;;панельный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_925et._2117109193;ул. Революции, 48А  р-н Свердловский;1;35м;25;9;от    1200;;;;;;;;;
https://www.avito.ru/perm/kvartiry/kvartira-studiya_35m_35et._1952781468;ул. Белинского, 51  р-н Свердловский;студия;35м;5;3;от    1200;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_435m_2125et._2236131664;ул. Героев Хасана, 11Б  р-н Свердловский;1;43.5м;25;21;4100000;косметический;совмещенный;на улицу, во двор;лоджия;2019;2;консьерж;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_77m_89et._2098996937;ул. Гашкова, д. 59  р-н Мотовилихинский;3;77м;9;8;4681600;;раздельный;на улицу, во двор;лоджия;;;;панельный;подземная, за шлагбаумом во дворе, открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_621_m_46_et._1992629474;ул. Лукоянова, д. 28а  р-н Свердловский;3;62.1м;6;4;4161000;;;;;;;;монолитный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_56m_2325et._1788626147;;1;56м;25;23;от    1700;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_515m_610et._2099367218;ул. Гашкова, д. 51, корп. 2  р-н Мотовилихинский;2;51.5м;10;6;3028788;;раздельный;на улицу;балкон;;1;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_2123et._1879033327;ул. Революции, 52Б  р-н Свердловский;1;40м;23;21;от    1630;;совмещенный;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_264_m_29_et._2197563083;ул. Советской Армии, д. 64  р-н Индустриальный;1;26.4м;9;2;2616501;;;;балкон;;;;монолитный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_49et._2035114604;ул. Гашкова, д. 59  р-н Мотовилихинский;1;42.2м;9;4;2750788;;раздельный;;балкон;;1;;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_25et._2193801356;ул. Куйбышева, 62  р-н Свердловский;1;35м;5;2;от    1100;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_316m_33et._2215757547;ул., 23  р-н Кировский;1;31.6м;3;3;1650000;евро;раздельный;на улицу;балкон;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_414m_35et._2233971154;ул. Маршала Рыбалко, 38  р-н Кировский;2;41.4м;5;3;12000;;;;;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_12et._2218884628;ул., 5  р-н Свердловский;;;;;1750000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_572_m_2325_et._2024732561;ул. Строителей, д. 37а  р-н Дзержинский;2;57.2м;25;23;5255000;;;;;;;;монолитный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_412et._2230190542;ул. Гашкова, 53  р-н Мотовилихинский;1;36м;12;4;10000;;;;;;;;панельный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_525et._2137202683;ул. Карла Модераха, д. 8  р-н Свердловский;;;;;3991000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_484_m_67_et._2197180217;ул. Монастырская, д. 181  р-н Дзержинский;;;;;4553821;;;;;;;;;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_483m_48et._2152585531;ул. Батумская , д. 7  р-н Кировский;;;;;3395000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_36m_25et._2214274957;ул.  р-н Индустриальный;;;;;14000;;;;;;;;;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_45et._2235260273;ул. Мильчакова, 31  р-н Дзержинский;1;31м;5;4;15000;;;;;;;;панельный;
https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;ул. Гашкова, д. 59  р-н Мотовилихинский;4;84.7м;9;8;5099542;;раздельный;на улицу, во двор;балкон;;0;;панельный;подземная, открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_515m_1717et._2200437316;ул., 53  р-н Дзержинский;2;51.5м;17;17;4150000;евро;совмещенный;на улицу, во двор;лоджия;2016;1;консьерж;монолитный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/1-k._kvartira_33m_45et._1404528881;ул., 40  р-н Мотовилихинский;1;33м;5;4;16000;;;;;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/kvartira-studiya_25m_2324et._2219862789;ул. Вильямса, 51А  р-н Орджоникидзевский;студия;25м;24;23;13000;;;;;;;;монолитный;
https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_25et._2225114540;ул. Качалова, 26  р-н Индустриальный;3;63м;5;2;3500000;;;во двор;нет;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/1-k._kvartira_215m_19et._2217414641;ул., 62  р-н Индустриальный;1;21.5м;9;1;1930000;косметический;совмещенный;во двор;нет;1981;1;мусоропровод;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_19et._2237849952;ул., 25  р-н Свердловский;2;45м;9;1;3200000;евро;раздельный;во двор;лоджия;1974;1;мусоропровод, газоснабжение;панельный;открытая во дворе
https://www.avito.ru/perm/kvartiry/3-k._kvartira_681m_16et._2152818372;ул. Лукоянова, д. 31  р-н Свердловский;3;68.1м;6;1;4973000;;раздельный;во двор;балкон;;;;кирпичный;за шлагбаумом во дворе
https://www.avito.ru/perm/kvartiry/kvartira-studiya_30m_1317et._2174721670;ул. Восстания, 71  р-н Мотовилихинский;студия;30м;17;13;11000;;;;;;;;кирпичный;
https://www.avito.ru/perm/kvartiry/2-k._kvartira_55m_36et._1763948228;ул. Судозаводская, д. 28  р-н Кировский;2;55м;6;3;3800000;;совмещенный;во двор;лоджия;;1;;монолитный;открытая во дворе
